p_id,week,name,brand,product,company,type,category,time,expiry_days,ingr,food_color,flavor,location,allergen,nw,energy,energyfat,protein,carbs,sugar,sugars,fat,st,tf,mufa,pufa,maltilol,sodium,fibre,cf,df,cholesterol,salt,iron,potassium,calcium,iodine,vita,vitab1,vitab2,vitab3,vitab5,vitab6,vitab7,vitab12,vitac,vitd,vite,folic,folate,zinc,chromium,selenium,magnesium,phosphorus,Pantothenate,Moisture,Total Ash,Polyols,Acid Insoluble Ash
49,week2,TimeOut StrawBerry Popcorn,TimeOut,StrawBerry Popcorn,Not Mentioned,Veg,Popcorn Snack,2,24,"PopCorn,Edible Vegetable Oil,Sugar,Emulsifier-INS 1450,Emulsifier-INS 1400,Humectant-INS 1520,Preservative-211,Anti Oxidant-INS 224",Permitted Synthetic Food Colours,Not Mentioned,Chennai,Not Mentioned,40g,443.4 Kcal,,3.83,83.54,,,10.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,week2,TCS Ompodi,TCS,Ompodi,Not Mentioned,Veg,Namkeen Snack,1,12,"Gram Flour,Peas Flour,Rice Flour,Carom Seeds,Refined & Iodised Salt",Not Mentioned,Not Mentioned,Chennai,Not Mentioned,150g,562 cal, 206 cal,9 g,80g,0.4g,,22.9g,2.8g,0.2g,,,,1423mg,,,8.7g,12.5mg,,13%,,22%,,4%,,,,,,,,0%,,,,,,,,,,,,,,
51,week2,Nellai Kuttam Snacks Chips & Snacks,Nellai Kuttam Snacks,Chips & Snacks,Not Mentioned,Veg,Chips,1,12,"Dhal Flour,Rice Flour,Maida,Garlic,Double Refined Vegetable Oil,Salt Chilly,Spices",Not Mentioned,Not Mentioned,Chennai,Not Mentioned,125g,972 cal,558 cal,15g,105g,,,64g,16g,,,,,148mg,,,9g,,,21%,,10%,,9%,,,,,,,,112%,,,,,,,,,,,,,,
52,week2,Nellai Kuttam Snacks Tapico,Nellai Kuttam Snacks,Tapico,Not Mentioned,Veg,Savouries,2,24,"Tapioca veg oil,Salt & Spices Masala",Not Mentioned,Not Mentioned,Chennai,Not Mentioned,125g,242 cal,130 cal,4.5g,24g,,,14.4g,6g,14.4g,,,,260mg,,,,,,27%,,,,,,,,,,,,,,,,,,,,,,,,,,
53,week2,Madhuram Kuzhal Murukku Chilli,Madhuram,Kuzhal Murukku Chilli,Not Mentioned,Veg,Savouries,3,36,"Rice Flour,Fried Gram Flour,Salt,Vanaspathi,Gingellly,Cumin,Chilli Powder,Edible Vegetable Oil",Not Mentioned,Not Mentioned,Thiruvananthapuram,Not Mentioned,150g,535 Kcal,,8.1g,59.8g,,,29.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,week2,TCS Oil Peanut,TCS,Oil Peanut,Not Mentioned,Veg,Peanut Snack,1,12,"Peanut,Refined Oil,Chilli Powder,Iodised Salt",Not Mentioned,Not Mentioned,Chennai,Not Mentioned,150g,2206.4 Kcal,2060 cal,21 g,15.6 g,4 g,,228.9 g,8.2 g,1 g,,,,203 mg,,,7.5 g,0 mg,,22.60%,,8.40%,,,,,,,,,,,,,,,,,,,,,,,,
55,week3,Nestle KitKat,Nestle,KitKat,Societe des produits nestle sa,Veg,Confectionery,9,108,"Sugar,Hydrogenated vegetable fat-Sesame oil,Milk solids,Wheat flour-Maida,Cocoa solids,Emulsifier-INS 322,Leavening Agent-INS 500(ii),Yeast,Salt,Flour Treatment Agent -INS 516,Improver Enzymes",Not Mentioned,Not Mentioned,New Delhi,Peanuts,28.3g,500 Kcal,,8.0g,59.2g,48.7g,39.1g,25.7g,23.0g,0.04g,,,,129.8mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,week3,Monginis Swiss Roll Choco Cake,Monginis,Swiss Roll Choco Cake,Not Mentioned,Non Veg,Pastries,4,48,"Eggs,Refined Wheat Flour,Sugar,Water,Edible Vegetable Oil,Soya Protein,Cocoa Solids,Starch,Milk Solids,Humectant-INS 325,Humectant-INS 422,Humectant-INS 1520,Iodised Salt,Raising Agent-INS 500(ii),Raising Agent-INS 341(i),Emulsifier-INS 471,Emulsifier-INS 491,Stabilizer-INS 412,Thickener-INS 466,Acidity Regulator-INS 260,Cream,Hydrogenated Vegetable Fat,Sugar,Cocoa Solids,Humectant-INS 422,Iodised Salt","Permitted Class II Peservatives-INS 200,INS 150(d)",Chocolate,Thane,"Peanuts,Eggs,Wheat,Soy Protein,Manufactured under facility that also handles Milk Products & Nuts",100g,446.00 Kcal,,08.55g,57.61g,31.19g,,20.15g,11.92g,0.20g,,,,,,,,111.10mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,week3,Monginis Choco Muffins Cake,Monginis,Choco Muffins Cake,Not Mentioned,Veg,Pastries,4,48,"Refined Wheat Flour,Sugar,Water,Edible Vegetable Oil,Milk Solids,Cocoa Solids,Humectant-INS 325,Humectant-INS 422,Humectant-INS 1520,Emulsifier-INS 435,Emulsifier-INS 471,Emulsifier-INS 491,Stabilizer-INS 412,Modified Starch-INS 1442,Iodised Salt,Raising Agent-INS 500(ii),Raising Agent-INS 341(i)","Contains Permitted Class II Preservative-INS 200,Contains Permitted Natural Colour-INS 150(d)",Chocolate,Thane,"Milk solid,Wheat,Manufactured under the facility that also handles Milk Products and Nuts",75g,416.99 Kcal,,08.00g,55.77g,30.00g,,17.99g,08.12g,00.18g,,,,,,,,05.40mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,week3,Parle Rusk,Parle,Rusk,"Parle Products Pvt Ltd., Mumbai",Veg,Rusk,4,48,"
Wheat Flour,Sugar,Edible Vegetable Oil-Palm Oil,Suji,Yeast,Milk Solids,Edible Common Salt,Wheat Gluten,Emulsifier-INS 322,Emulsifier-INS 81(i),Emulsifier-INS 472,Emulsifier-INS 471,Wheat Fibre,Spices-Cardamom Seeds & Its Extract,Anti Oxidant-INS 300",Not Mentioned,Not Mentioned,Ranga Reddy,Peanuts,200g,433 Kcal,,7.6g,80.7g,24.4g,,8.9g,4.6g,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,week3,Modern Fruity,Modern,Fruity,MFEL,Veg,Rusk,4,48,"Fine Wheat Flour,Glazed Papaya Fruit,Sugar,Acidity Regulator-INS 330,Preservative-211,Sugar,Edible Vegetable Fat-Interesterified,Gluten,Yeast,Iodised Salt,Emulsifier-INS 481(i),Spices & Condiments,Acidity Regulator-INS 260",Not Mentioned,Not Mentioned,Pune,Not Mentioned,200g,397 Kcal,,10.2g,80g,18.5g,,4.08g,1.99g,Not Detected,1.38g,0.71g,,,,,,Not Detected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,week3,Twist Marshmallow,Twist,Marshmallow,Not Mentioned,Non Veg,Confectionery,18,216," Sugar,Glucose Syrup,Water,Dextrose,Fish gelatin,Corn Starch ","Artificial colours-E127, E-110, E-102, E-133","Strawberry,Orange,Apple,Grape",Linyi City,Not Mentioned,20g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,week3,Horlicks Biscuits,Horlicks,Biscuits,GSK group of companies,Veg,Biscuits,6,72,"Refined Wheat Flour,Sugar,Edible Vegetable Oil-Palm Oil,Liquid Glucose,Mineral,Milk Solids,Salt,Leavening Agent-INS 503(ii),Baking Powder-INS 500(ii),Baking Powder-INS 341(i),Emulsifier-INS 322,Dough Conditioner-INS 223,Vitamin",Natural Identical Flavouring Substances,Not Mentioned,Ramnagara,Not Mentioned,150g,447 Kcal,,6.0g,77g,,24.3g,6.4g,6.4g,0g,4.8g,1.7g,,,,,,0mg,,,,800mg,,,,,,,,,,,5mcg,,,,,,,,,,,,,
62,week3,Alpenliebe Juzt Jelly Cola Bottles,Alpenliebe,Juzt Jelly Cola Bottles,Not Mentioned,Veg,Confectionery,12,144,"Sugar,Fruit Puree,Invert Sugar,Liquid Glucose,Thickener-INS 440,Acidity Regulator-INS 296,Acidity Regulator-INS 330,Acidity Regulator-INS 331(iii)",Permitted Natural Colour-INS 150d,Cola Flavour,Gurgram,Not Mentioned,72.8g,314 Kcal,,0g,78.6g,54.7g,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,week3,Hide & Seek Biscuits,Hide & Seek,Biscuits,"Parle Products Pvt Ltd., Mumbai",Veg,Biscuits,6,72,"Wheat Flour Chocolate,Sugar,Cocoa Solids,Cocoa Butter,Dextrose,Emulsifier-INS 322,Sugar,Edible Vegetable Oil-Palm Oil,Invert Sugar Syrup,Raising Agent-INS 503(ii),Raising Agent-INS 500(ii),Cocoa Solids,Edible Common Salt,Emulsifier-INS 471",Not Mentioned,Vanilla,Kattedan,Not Mentioned,120g,479 Kcal,,5.9g,73.3g,32.2g,,18.0g,9.3g,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,week3,Hide & Seek Choco Rolls, Hide & Seek ,Choco Rolls,"Parle Products Pvt Ltd., Mumbai",Veg,Biscuits,9,108,"Sugar,Edible Vegetable Oil,Cocoa Solids,Emulsifier-INS 322,Wheat Flour,Edible Vegetable Oil-Palm Oil,Sugar,Invert Sugar Syrup,Cocoa Solids,Edible Common Salt,Raising Agent-INS 500(ii),Raising Agent-INS 503(ii),Acidity Regulator-INS 341(i),Emulsifier-INS 72",Not Mentioned,"Vanilla,Chocolate",Raigad,Not Mentioned,75g,512 Kcal,,4.5g,67.0g,38.3g,,25.1g,11.7g,0.12g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,week3,Milano Chocolate Chip Cookies,Milano,Chocolate Chip Cookies,"Parle Products Pvt Ltd., Mumbai",Veg,Biscuits,6,72,"Wheat Flour,Chocolate,Sugar,Cocoa Solids,Cocoa Butter,Dextrose,Emulsifier-INS 322,Edible Vegetable Oil-Palm Oil,Sugar,Invert Sugar Syrup,Liquid Glucose,Butter,Raising Agent-INS 503(ii),Raising Agent-INS 500(i),Milk Solids,Cocoa Solids,Edible Common Salt,Emulsifier-INS 472",Not Mentioned,"Vanilla,Chocolate",Raigad,Not Mentioned,75g,517 Kcal,,5.0g,66.3g,30.3g,,25.7g,13.4g,0.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,week3,Hide&Seek Black Bourbon,Hide&Seek ,Black Bourbon,"Parle Products Pvt Ltd., Mumbai",Veg,Biscuits,6,72,"Sugar,Wheat Flour,Edible Vegetable Oil-Palm Oil,Cocoa Solids,Sprinkled Sugar,Invert Sugar Syrup,Edible Common Salt,Raising Agent-INS 503(ii),Raising Agent-INS 500(i),Emulsifier-INS 322",Permitted Natural colour-150d,"Vanilla,Chocolate",Gujarat,Not Mentioned,100g,470 Kcal,,5.2g,75.8g,42.8g,,16.2g,8.3g,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,week3,Krackjack Sweet & Salty Crackers,Krackjack,Sweet & Salty Crackers,"Parle Products Pvt Ltd., Mumbai",Veg,Biscuits,6,72,"Wheat Flour,Edible Vegetables Oil-Palmolein Oil,Edible Vegetables Oil-Palm Oil,Sugar,Raising Agent-INS 503(ii),Raising Agent-INS 500(i),Raising Agent-INS 341(i),Invert Sugar Syrup,Iodised Salt,Yeast,Acidity Regulator-INS 270,Acidity Regulator-INS 296,Emulsifier-INS 472,Dough Conditioner-223,Improver-Amylase & Other Enzymes(Papain-1101(ii))",Not Mentioned,"Vanilla,Butter",Ranga Reddy,Not Mentioned,37.8g,496 Kcal,,6.6g,69.2g,18.5g,,21.4g,10.1g,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,week3,Britannia Cake Fruity Fun,Britannia ,Cake Fruity Fun,Britannia Industries Limited,Veg,Biscuits,6,72,"Refined Wheat Flour,Sugar,Edible Vegetables Oil-Palm Oil,Interesterified Vegetable Fat-Palm,Interesterified Vegetable Fat-Sesame,Invert Syrup,Dextrose,Milk Solids,Edible Starch,Maltodextrin,Fruit products,Edible Common Salt,Emulsifier-INS 322,Emulsifier-INS 471,Raising Agent-INS 503(ii),Raising Agent-INS 500(ii),Gelling Agent-440,Acidity Regulator-INS 330,Stabilizer-INS 331(i)",Permitted Synthetic Food Colour-INS 122,"Mixed Fruit,Butter,Vanilla",Gwalior,Not Mentioned,100g,483 Kcal,,5g,73g,33.5g,,19g,9.5g,0g,7.2g,2.2g,,,,,,0 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,week3,Nestle MilkyBar Moosha,Nestle,MilkyBar Moosha,Societe des produits nestle sa,Veg,Confectionery,9,108,"Sugar,Liquid Glucose,Hydrogenated Vegetable fat-Sesame Oil,Malt Extract,Milk Solids,Stabilizer-INS 501(i),Acidity Regulator-INS 330,Emulsifier-INS 471 ,Emulsifier-INS 322,Salt,Sugar,Hydrogenated Vegetable Fat-Sesame oil",Not Mentioned,Vanilla ,New Delhi,Not Mentioned,40g,386 Kcal,,3.8g,56.8g,42.2g,31.2 g,16.0g,12.7g,0.10g,,,,130.0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,week3,McVitie's Oat Cookies,McVitie's,Oat Cookies,United Biscuit Pvt Ltd,Veg,Cookies,9,108,"Wheat Flour,Sugar,Edible Vegetable Oil-Palm oil,Whole Wheat Flour,Oats,Invert Sugar Syrup,Wheat Fibre,Leavening Agent-INS 503(ii),Leavening Agent-INS 500(ii),Milk Solids,Butter,Honey,Edible Common Salt,Emulsifier-INS 471,Emulsifier-INS 322,Acidity Regulator-INS 296",Not Mentioned,Oats,Sirmour,"Wheat,Milk,Soya,Traces of Nuts",100g,490 Kcal,,6.5g,70g,25.5g,,20.5g,11.4g,0g,7.4g,2.0g,,,,,6.0g,1.3mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
